Country,Region,Total Cases,Total Cases per 100k pop,New Cases (7 days),New Cases per 100k pop (7 days),New Cases (24 hours),Total Deaths,Total Deaths per 100k pop,New Deaths (7 days),New Deaths per 100k pop (7 days),New Deaths (24 hours)
Jersey,Europe,59270,54983.487,39,36.179,0,137,127.092,1,0.928,0
Syrian Arab Republic,Eastern Mediterranean,57197,326.828,68,0.389,8,3163,18.074,0,0,0
Burundi,Africa,49882,419.501,512,4.306,0,15,0.126,0,0,0
Guam,Western Pacific,48669,28836.617,98,58.065,0,394,233.447,0,0,0
Gabon,Africa,48668,2186.605,0,0,0,306,13.748,0,0,0
Seychelles,Africa,46358,47137.178,183,186.076,0,169,171.841,0,0,0
Andorra,Europe,46147,59725.62,34,44.004,34,155,200.608,0,0,0
Curaçao,Americas,45345,27633.72,27,16.454,0,287,174.901,0,0,0
Papua New Guinea,Western Pacific,44931,502.189,31,0.346,9,664,7.421,0,0,0
Aruba,Americas,42970,40246.895,0,0,0,228,213.551,0,0,0
Mayotte,Africa,40161,14720.965,66,24.192,0,187,68.545,0,0,0
United Republic of Tanzania,Africa,39253,65.713,85,0.142,0,845,1.415,0,0,0
Togo,Africa,38678,467.198,97,1.172,8,284,3.43,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Guinea,Africa,37652,286.702,0,0,0,449,3.419,0,0,0
Bahamas,Americas,37171,9452.401,46,11.698,0,830,211.065,7,1.78,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34287,1600.514,0,0,0,704,32.863,0,0,0
Haiti,Americas,33702,295.566,22,0.193,0,857,7.516,2,0.018,0
Mali,Africa,32385,159.919,473,2.336,55,739,3.649,0,0,0
Guernsey,Europe,30992,48073.463,109,169.076,0,62,96.172,0,0,0
Cayman Islands,Americas,30545,46477.48,165,251.065,165,31,47.17,2,3.043,2
Saint Lucia,Americas,28959,15770.557,65,35.398,0,393,214.021,2,1.089,0
Benin,Africa,27638,227.976,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27197,171.123,177,1.114,0,1361,8.563,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
Timor-Leste,South-East Asia,23237,1762.455,31,2.351,5,138,10.467,0,0,0
United States Virgin Islands,Americas,22970,21996.648,126,120.661,0,123,117.788,1,0.958,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
Burkina Faso,Africa,21128,101.075,0,0,0,387,1.851,0,0,0
San Marino,Europe,20552,60557.487,85,250.457,12,118,347.693,0,0,0
Gibraltar,Europe,20069,59567.837,0,0,0,108,320.56,0,0,0
Grenada,Americas,19473,17305.795,70,62.21,38,236,209.735,0,0,0
Liechtenstein,Europe,19351,49941.931,71,183.24,0,85,219.372,0,0,0
Bermuda,Americas,18019,28935.494,106,170.218,106,148,237.663,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17780,158.839,0,0,0,138,1.233,0,0,0
Equatorial Guinea,Africa,16894,1204.147,26,1.853,0,183,13.044,0,0,0
Tonga,Western Pacific,16182,15310.09,0,0,0,12,11.353,0,0,0
Samoa,Western Pacific,15889,8008.003,0,0,0,29,14.616,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Marshall Islands,Western Pacific,15180,25644.491,110,185.83,3,17,28.719,0,0,0
Nicaragua,Americas,14990,226.279,0,0,0,244,3.683,0,0,0
Central African Republic,Africa,14903,308.566,0,0,0,113,2.34,0,0,0
Dominica,Americas,14852,20630.357,0,0,0,68,94.456,0,0,0
Monaco,Europe,14471,36874.427,47,119.764,9,63,160.534,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13155,22855.604,8,13.899,0,40,69.496,0,0,0
Gambia,Africa,12415,513.724,0,0,0,372,15.393,1,0.041,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Saint Martin,Americas,11941,30888.021,0,0,0,46,118.989,0,0,0
Yemen,Eastern Mediterranean,11932,40.005,1,0.003,0,2155,7.225,0,0,0
Vanuatu,Western Pacific,11921,3881.229,22,7.163,0,14,4.558,0,0,0
Sint Maarten,Americas,10855,25313.651,8,18.656,0,87,202.882,0,0,0
Eritrea,Africa,10163,286.571,5,0.141,0,103,2.904,0,0,0
Micronesia (Federated States of),Western Pacific,9933,8635.664,712,619.007,0,30,26.082,2,1.739,1
Saint Vincent and the Grenadines,Americas,9446,8514.512,14,12.619,0,116,104.561,1,0.901,0
Niger,Africa,9388,38.783,16,0.066,0,312,1.289,0,0,0
Bonaire,Americas,9386,44876.883,24,114.75,24,31,148.219,0,0,0
Antigua and Barbuda,Americas,9008,9198.501,34,34.719,34,145,148.066,0,0,0
Guinea-Bissau,Africa,8796,446.951,0,0,0,175,8.892,0,0,0
Comoros,Africa,8467,973.665,2,0.23,0,160,18.399,0,0,0
American Samoa,Western Pacific,8217,14886.679,0,0,0,34,61.598,0,0,0
Liberia,Africa,7929,156.771,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7749,97.142,2,0.025,0,125,1.567,0,0,0
Chad,Africa,7558,46.013,11,0.067,0,193,1.175,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Saint Kitts and Nevis,Americas,6536,12287.562,10,18.8,0,46,86.479,0,0,0
Cook Islands,Western Pacific,6389,36375.541,8,45.548,0,1,5.693,0,0,0
Turks and Caicos Islands,Americas,6380,16478.124,8,20.662,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,6177,2818.502,0,0,0,76,34.678,0,0,0
Palau,Western Pacific,5430,30013.266,27,149.237,0,6,33.164,0,0,0
Saint Barthélemy,Americas,5263,53242.286,0,0,0,5,50.582,0,0,0
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3856,25703.24,5,33.329,5,12,79.989,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,3166,54633.305,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1886,54148.722,0,0,0,0,0,0,0,0
Montserrat,Americas,1326,26525.305,97,1940.388,50,8,160.032,0,0,0
Sint Eustatius,Americas,1194,38037.592,0,0,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,761,6766.85,0,0,0,7,62.244,0,0,0
Saba,Americas,726,37558.2,3,155.199,0,2,103.466,0,0,0
Niue,Western Pacific,78,4820.766,4,247.219,1,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,20,169.607,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
